CT,Acqua Group,MODERATE,Asset Manager (Diversified),Yes,"""Our qualitative assessment is whether or not an issue would qualify into our framework. Eg. if this AH transaction would work for us we have to have direct & measurable impact. So we know that it would have impact within our impact theme of AH. And we’d ",No,"NOTE: My understanding is that the prequalification scenario is not formally documented prior to investment, but rather that holdings are formally categorized by scenario and review on that basis annually (or, for green bonds, quarterly) by the RI team.

",No,"""This task tends to be more difficult in fixed income because not all bond issuances state expected results in concrete terms. For some types of securities, such as asset-backed securities, information on expected impact is more readily available because ",No,No results measurement framework.,Yes,"""I know that we align with IRIS, where possible. With IRIS+ there are not yet set metrics in some of the sectos we look at. We align with ICMA’s sector-specific green bond principles. Blue bond for example there aren’t a set standard of  guidelines becaus",(blank),(blank),(blank),(blank),(blank),0,"""We leverage the five dimensions of impact from the Impact Management Project and use metrics that are aligned with IRIS and other standards such as the Green Bond Principles wherever possible."" (Draft Disclosure Statement, pp.5)

Example investments incl",(blank),(blank),(blank),(blank),N/A,0,No results measurement framework.,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,N/A,No
CT,Acqua Group,HIGH,Asset Manager (Diversified),Yes,"""Nuveen currently assesses the expected impact of each investment in qualitative terms against our themes and guidelines. We leverage the five dimensions of impact from the Impact Management Project and use metrics that are aligned with IRIS and other sta",Yes,"Impact DD 'expected impact' section implemented in both example transactions provided to Tideline. ""Expected impact rating"" was not included as that line item had not yet been added to the template. Room for improvement: rigor in terms of following the te",Yes,"""The private markets portfolio employs an impact measurement system that includes metrics to assess what the impact is, who experiences it, and how significant it is, as well as the contribution relative to the level of need in the given context."" (Draft ",Yes,"Completed impact DDQ is inserted into IC memo (labeled as Social Impact Framework). 2nd half is devoted to ""expected impact: social/environmental performance"" which consists of the following line items (as set out in the results measurement framework):
- ",Yes,"Impact measurement methodology (supplement to Results Measurement Framework) sets out core indicators across multiple data types, with clear and specific definitions for all indicators, and IRIS+ alignment for most. (Nuveen IMM Overview, pp. 63 - excerpt ",x,x,x,(blank),(blank),3,"Results/Impact Measurement Framework tailored to each impact theme and describes impact metrics across What, Who and How Much (depth, scale and duration/rate. (Nuveen IMM Overview, pp. 33 - excerpt from 2019 Impact Report, pp. 13)

Likelihood of achieving",x,(blank),(blank),(blank),N/A,1,"Relative sizing
Relative sizing of the challenge is mentioned in Impact DD template guidance (under 'What' line item), but it is not consistently addressed in IC memo examples provided. (Nuveen IMM Overview, pp. 36; Rose V IC memo pp. 33; Samunnati IC mem",,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,N/A,No
CT,Acqua Group,ADVANCED,Asset Manager (Impact Only),Yes,"- Impact is considered during the due diligence stage culminating in an Investment Committee meeting that considers impact:
   - ""PGII Investment Committee is the gatekeeper of individual investments into a fund or mandate and ensures alignment with the f",Yes,"Standard implementation of the Impact Assessments (Documents 10, 11, 12)

""The decision making process was founded on PG's best-in-class investment practices, honed across 20+ years of experience, then refined to incorporate impact filters and considerati",Yes,"""Based on its global, relative-value investment approach, PGII is able to offer investment solutions across impact sectors and asset classes in order to cater for different clients' preferences with regards to:
- WHAT impact does the client want to achiev",Yes,"""PG Impact Investments has the dual mission of achieving attractive financial returns and positive environmental and social impact, as framed by the UN SDGs. To achieve the latter, PG Impact Investments integrates a robust impact management system through",Yes,"""Where possible and meaningful, PG Impact Investments is aligning its impact metrics with IRIS."" (PGII Impact Methodology, pp.8)

""GIIN IRIS metrics are used where applicable and the fund produces quarterly and annual impact reporting. TAF products separa",x,x,x,x,x,5,"All investments are subject to a comprehensive impact assessment. To align with emerging good practice, PG Impact Investments due diligence framework is built on the findings of the Impact Management Project (""IMP""). In particular, the framework adopts IM",x,(blank),x,(blank),N/A,2,"PGII incorporates some of these supplemental considerations during the impact assessment framework, in particular in the ""how much,"" ""risk."" and ""market gap"" areas of the impact assessment.

Relative sizing in target geographies:
""To benchmark the global ",,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
CT,Acqua Group,ADVANCED,Asset Manager (Diversified),Yes,"""To assess the potential contribution of prospective investments to the SDGs during
diligence, Partners Group developed rating criteria across each IMP dimension,
ranging from 1 (low) to 5 (high)."" (IMP case study, pp.6); ""Impact potential"" reviewed in th",Yes,"Murra Warra Impact Assessment pp.12-27, Techem Impact Assessment, Confluent Impact Assessment",Yes,"""To assess the potential contribution of prospective investments to the SDGs during diligence, Partners Group developed rating criteria across each IMP dimension, ranging from 1 (low) to 5 (high)."" (IMP case study, pp.6)               ",Yes,"""Much like evaluating an investment thesis, the five dimensions must be considered holistically before an Impact Committee member votes with a low (1) or high (4) conviction on whether a deal should be included in PG LIFE."" (IMP case study, pp.7); ""Impact",Yes,"""The logic model(s) developed in step 3.3.1 will help identify relevant metrics (see diagram below). Other sources of potential metrics include the SDG indicators as well as non-financial reporting metrics such as those identified in the Business Reportin",x,x,x,x,x,5,"""To assess the potential contribution of prospective investments to the SDGs during diligence, Partners Group developed rating criteria across each IMP dimension, ranging from 1 (low) to 5 (high)."" (IMP case study, pp.6) ""Partners Group agreed that since ",x,x,x,N/A,N/A,3,"Murra Warra Impact Assessment includes assessment of relative sizing of the challenge (pp.21-23,41) and opportunities to increase impact/mitigate impact delivery risks (pp.32) ",,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No
CT,Acqua Group,MODERATE,Asset Manager (Diversified),Yes,"Prudential's process for assessing expected impact varies across impact themes/asset classes, although a deal brief and/or authorization with an impact rationale is articulated for each investment. For a time, Prudential did require funds to undergo a GII",Yes,"For CDFIs, Expected Impact Score for Operating Entities. For other impact themes/asset classes, deal briefs for Lata and authorization memos appear to be the most comparable documnetation. ",No,"At present, there is no results measurement framework for the portfolio as a whole.",No,[To be discussed based on review of transaction documents],No,"We have seen evidence of Prudential, at least for some of its investments, encouraging alignment with GIIRS data reporting.",x,x,(blank),(blank),(blank),2,We have seen evidence that the first two of these questions are answered in the provided transaction documents.,(blank),(blank),(blank),(blank),N/A,0,"We have not seen evidence of any of these supplemental considerations addressed in Pru's results framework. [Might be worth flagging areas in which Prudential believes it could increase its impact through leveraging Prudential CSR expertise/experience]

i",,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
,Acqua Group,HIGH,Asset Manager (Impact Only),Yes,"Quona has a robust impact management framework aimed at categorizing and identifying the intended impact of an asset through three dimensions: Access, Quality, and Markets. Each of these categories has distinct indicators that signal the extent to which a",Yes,"The Stage 1 and Stage 2 memos have distinct sections aimed at capturing potential KPIs.
In the Stage 1 memo, Appedix 2: Sample KPI Dashboard calls for a list of KPIs, aligned to one of the dimensions of the AQM framework. Notes in the appendix demonstrate",Yes,"The Stage 1 and Stage 2 memos have distinct sections aimed at capturing potential KPIs.
In the Stage 1 memo, Appedix 2: Sample KPI Dashboard calls for a list of KPIs, aligned to one of the dimensions of the AQM framework. Notes in the appendix demonstrate",Yes,"""We evaluate the financial, operational and social performance of our portfolio companies at every stage of an investee’s life
cycle—from deal sourcing to exit, and everywhere in between. The framework we use (below) was developed in partnership
with indu",Yes,Quona aligns indicators to IRIS+ - each KPI in the consolidated metric catalog is derived from IRIS+ and Quona works to expand on the applicability to the different sectors/company profiles,x,x,x,(blank),(blank),3,"AQM either directly or tangentially asks the exact questions outlined in question 4F. Through conversations with the impact team, it's clear that the AQM has been heavily influenced by the IMP's work; Quona has even been involved in IMP framing conversati",x,(blank),(blank),x,(blank),2,"i. Access dimension addresses scale via ""Who is impacted? How undeserved are they in target market? How many people are impacted?"" Stage 1, Section 4.1 includes ""Addressable Market"" section: [Define addressable market size, focusing on the segment of the ",,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
CT,Acqua Group,LOW,Asset Manager (Impact Only),No,Osiris does not have a process in place to assess the expected positive impact of investments. The firm tracks operational impact metrics (similar to the forthcoming M&E Tracking Tool indicators) for each portfolio company to assess impact as well as fina,No,See 4A.,No,"Osiris views job creation as the best remedy to poverty. At the investment-level the firm assesses job creation, taxes paid (by a company) and beneficiaries. Within beneficiaries, Osiris assesses who the beneficiaries are, how a company is attempting to c",No,See 4C,Yes,"Osiris uses impact metrics that were modeled on the IRIS 1.0 taxonomy.
Osiris used to use GIIRS Impact Fund ratings for portfolios",(blank),(blank),(blank),(blank),(blank),0,None of these fundamental questions are addressed by Osiris its in assessment of a company.,(blank),(blank),(blank),(blank),N/A,0,None of these supplemental questions are addressed by Osiris. ,,No,No,No,No,No,No,No,Yes,No,No,No,No,No
,Acqua Group,MODERATE,Asset Manager (Diversified),Yes,"-Through interviews, Bruno Bertocci stated: The principle goal is to generate a competitive return with consideration of the benchmark, valuation is an extremely important and the dominant input; ESG characteristics are very important, in terms of risk mi",Yes,"Prior to the investment, investment ideas, financial models and consensus ESG scores are calculated. For each stock, analysts write a company research note (CRN) that includes: ESG score assessment vs qualitative insight; Impact of sustainability on valua",Yes,Manager has built a proprietary impact measurement model that calculates impact generated per unit of revenue. The tool was developed in partnership with two universities. The process seeks to create a generalizable model of impact per unit of revenue in ,No,"- All Portfolio holdings have detailed investment theses, are mapped to the SDGs and to the Manager's five main priorities: Climate change and air pollution; Water scarcity; Food security; Health care; Poverty Alleviation
- UBS AM have developed a proprie",No,"-Interview with Bruno: Metrics are mapped to the five priorities, metrics are mapped to the climate team, and the in-house model. Output metrics are shaped by the interaction with the client; there aren't any recognized industry standards yet; the metrics",x,(blank),(blank),(blank),(blank),1,UBS provides no indication or guidance regarding the likelihood of achieving expected impact. Manager ackowledges risk factors and variance from expected impact. Risk factors are considered through negative impact result examples provided (such as negativ,(blank),x,(blank),(blank),N/A,1,"Manager does not give examples, evidence or guidance of sizing of challenge addressed in target geographies. Manager identifies opportunities to increase impact and mitigation of impact delivery tasks through engagement efforts with companies. Example: A ",,No,Yes,Yes,No,No,No,No,No,No,No,No,N/A,No
,Acqua Group,HIGH,Other,Yes,#NAME?,Yes,"Impact Assessment, informed by Impact DDQ conversations and responses",Yes,Impact DDQ and Impact Assessment use 5 dimensions of impact as a way to frame expected impact in qualitative manner,Yes,CIO Impact Assessment Responsibilities “Terms of Responsibility” shows how impact investing products are governed. Any product that receives the 'impact investing' label requires that an Impact Assessment be conducted and Research Committee reviews and vo,Yes,"-UBS WM uses the IMP's Five dimensions of impact to guide their IM process and in the assessment of fund managers.

[Would also flag, as relevant the GRI sustainability reporting standards, as mentioned in the GRI 2018 excerpts doc]",x,x,x,x,x,5,"Impact Assessment asks questions about Manager's articulation of impact, according to IMP dimensions of impact",(blank),(blank),(blank),(blank),N/A,0,(blank),,No,Yes,Yes,No,No,No,No,No,No,Yes,No,N/A,No
,Acqua Group,MODERATE,Asset Manager (Impact Only),Yes,"Interviews
>as a principle for fund II, described in docs with investors and shareholders.. we want to see the companies at gender-parity (50% women) and see an improvement on those indicators.
In microfinance we see that companies founded by women, we se",Yes,"Ananya Investment Proposal

Recommendation: Opportunity for WAM to include specific impact projects in investment proposals (e.g., including social/impact projections in the ""Financials and Projections"" section of investment proposals)",Yes,See 4F,Yes,See 4F,Yes,"WWB-IRIS-GPI-Alignment
>Women's World Banking indicators are aligned with IRIS+ metrics. (e.g., new women borrowers as percent of new borrowers –> IRIS PI2822.)

Client intake survey
>WAM Impact Metrics are aligned with several, though they go further on ",x,x,(blank),(blank),(blank),2,"i/ii. 
Encl 16a_Investment Proposal_Ananya 
>As a long time partner of WWB, FWWB/Ananya is a good fit for Isis’ investment portfolio. Ananya is expected to help WWB Isis achieve both its financial objectives and its goal of offering low-income people, esp",(blank),(blank),(blank),(blank),(blank),0,"i. 
Encl 16a_Investment Proposal_Ananya 
> India is home to 1.2bln people living in its 28 states and 7 union territories. Poverty is a pervasive concern, with 42% (450mln people) living on less than USD 1.25 a day. 
> India’s microfinance market can be d",,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industry standard, Count,Percentage,,,,
,Principle 4 Statistics Across First 30 Verifications,,,,,,,,,,,,,,,Approach to assess expected impact,Percentage,,,,,,,,,Dimension of impact,Count,Percentage,,,,,,,IRIS ,19,0.633333333,,,,
,Question,Client percentages,Sample size,,Principle 4,,,,,,,,,,,,,,,,,,,,,What,,0.9,,,,,,,HIPSO,7,0.233333333,,,,
,4A. Ex-Ante Impact Assessment,0.9,30,,ADVANCED,8,0.266666667,,,,,,,,,Dimensions of impact,0.833333333,,,,,,,,,Who,,0.833333333,,,,,,,GRI,3,0.1,,,,
,4B. Documentation,0.866666667,30,,HIGH,12,0.4,,,,,,,,,Impact targets,0.666666667,,,,,,,,,How Much,,0.633333333,,,,,,,GIIRS Ratings,2,0.066666667,,,,
,4C. Results Framework to assess expected impact,0.866666667,30,,MODERATE,8,0.266666667,,,,,,,,,Aggregate impact score,0.333333333,,,,,,,,,Contribution,,,,,,,,,Other,8,0.266666667,,,,
,4D. Incorporates the results framework fundamental questions into the investment decision-making process                                        ,0.7,30,,LOW,2,0.066666667,,,,,,,,,Impact monetization,0,,,,,,,,,Risk,,0.5,,,,,,,,,,,,,
,4E. Industry Aligned Indicators,0.766666667,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fi. Fundamental Questions – What is the intended impact?                            ,0.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fii. Fundamental Questions – Who experiences the intended impact?                                                     ,0.833333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fiii. Fundamental Questions – How significant is the intended impact?                                                          ,0.633333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fiv. Fundamental Questions – What is the likelihood of achieving expected impact?                                                        ,0.433333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fv. Fundamental Questions – What are significant risk factors that could result in variance from expected impact?                                                           ,0.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Gi. Supplemental Considerations – Relative sizing of the challenge addressed in targeted geographies                                ,0.633333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Gii. Supplemental Considerations – Opportunities to increase impact,0.366666667,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Giii. Supplemental Considerations – Opportunities to mitigate impact delivery risks                            ,0.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Giv. Supplemental Considerations – Indirect and systemic impacts,0.333333333,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4Gv. Supplemental Considerations – Explicit use of industry best practice (i.e., SMART, SPICED) in selecting impact metrics                              ",0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional datapoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4C.a. What approach has the Manager taken to assess expected impact? (Select All That Apply),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4C.a.i Expected performance on impact metrics/targets,0.666666667,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4C.a.ii Assessment of impact dimensions (structured or unstructured),0.833333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4C.a.iii Unstructured assessment of impact dimensions (e.g., qualitative)",0.633333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4C.a.iv Structured assessment of impact dimensions (e.g., rating scale, predefined categories, H/M/L)",0.5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4C.a.v Aggregate impact score/rating,0.333333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4C.a.vi Impact monetization (i.e., dollar value of impact)",0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a. To which industry standards has the Manager aligned its impact indicators? (Select All That Apply),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a.i HIPSO,0.233333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a.ii IRIS,0.633333333,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a.iii GIIRS,0.066666667,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a iv GRI,0.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4E.a.vi Other (Open-ended response),0.266666667,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fv.a.i Does the manager assess expected enterprise contribution (as opposed to investor contribution) in the due diligence process?,0.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4Fv.a.ii Does the manager assess all five of the IMP Dimensions of Impact (or the underlying concepts) in the due diligence process?,0.172413793,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formulas checked for accuracy 4/1/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
